Jugador,Equipo,Pos,Precio
Elías Gómez,Vélez Sarsfield,DEF,1000000
Francisco Pizzini,Vélez Sarsfield,DEL,1000000
Braian Romero,Vélez Sarsfield,DEL,1000000
Claudio Aquino,Vélez Sarsfield,VOL,1000000
Tomás Marchiori,Vélez Sarsfield,ARQ,1000000
Agustín Bouzat,Vélez Sarsfield,VOL,1000000
Thiago Fernández,Vélez Sarsfield,DEL,1000000
Christian Ordoñez,Vélez Sarsfield,VOL,1000000
Joaquín García,Vélez Sarsfield,DEF,1000000
Valentín Gómez,Vélez Sarsfield,DEF,1000000
Emanuel Mammana,Vélez Sarsfield,DEF,1000000
Damián Fernández,Vélez Sarsfield,DEF,1000000
Patricio Pernicone,Vélez Sarsfield,DEF,1000000
Tomás Guidara,Vélez Sarsfield,DEF,1000000
Jalil Elías,Vélez Sarsfield,VOL,1000000
Matías Pellegrini,Vélez Sarsfield,DEL,1000000
Aaron Quirós,Vélez Sarsfield,DEF,1000000
Leonel Roldán,Vélez Sarsfield,VOL,1000000
Randall Rodríguez,Vélez Sarsfield,ARQ,1000000
Michael Santos,Vélez Sarsfield,DEL,1000000
Alejo Sarco,Vélez Sarsfield,DEL,1000000
Rodrigo Piñeiro,Vélez Sarsfield,DEL,1000000
Juan Ignacio Méndez,Vélez Sarsfield,VOL,1000000
Agustín Lagos,Vélez Sarsfield,DEF,1000000
Álvaro Montoro,Vélez Sarsfield,DEL,1000000
Lautaro Garzón,Vélez Sarsfield,ARQ,1000000
Maher Carrizo,Vélez Sarsfield,DEL,1000000
Santiago Cáseres,Vélez Sarsfield,VOL,1000000
Lenny Lobato,Vélez Sarsfield,DEL,1000000
Tomás Cavanagh,Vélez Sarsfield,DEF,1000000
Francisco Montoro,Vélez Sarsfield,DEL,1000000
Gianluca Benjamín,Vélez Sarsfield,DEL,1000000
Leonardo Jara,Vélez Sarsfield,DEF,1000000
Isaías Andrada,Vélez Sarsfield,DEF,1000000
Felipe Bussio,Vélez Sarsfield,VOL,1000000
Elías Cabrera,Vélez Sarsfield,DEL,1000000
Jano Gordon,Vélez Sarsfield,DEF,1000000
Maximiliano Porcel,Vélez Sarsfield,VOL,1000000
Thiago Silvero,Vélez Sarsfield,DEF,1000000
Thiago Vecino,Vélez Sarsfield,DEL,1000000
Walter Mazzantti,Huracán,DEL,1000000
Lucas Carrizo,Huracán,DEF,1000000
Rodrigo Echeverría,Huracán,VOL,1000000
Hernán Galíndez,Huracán,ARQ,1000000
William Alarcón,Huracán,VOL,1000000
Rodrigo Cabral,Huracán,DEL,1000000
Fabio Pereyra,Huracán,DEF,1000000
Hernán De La Fuente,Huracán,DEF,1000000
Guillermo Benítez,Huracán,DEF,1000000
Federico Fattori,Huracán,VOL,1000000
Fernando Tobio,Huracán,DEF,1000000
Héctor Fértoli,Huracán,VOL,1000000
César Ibáñez,Huracán,DEF,1000000
Lucas Souto,Huracán,DEF,1000000
Sebastián Ramírez,Huracán,DEL,1000000
Eric Ramírez,Huracán,DEL,1000000
Ignacio Pussetto,Huracán,DEL,1000000
Ramón Ábila,Huracán,DEL,1000000
Sebastián Meza,Huracán,ARQ,1000000
Agustín Toledo,Huracán,VOL,1000000
Alan Soñora,Huracán,VOL,1000000
Guillermo Burdisso,Huracán,DEF,1000000
Pablo Siles,Huracán,VOL,1000000
Franco Alfonso,Huracán,DEL,1000000
Leandro Garate,Huracán,DEL,1000000
Marcelo Pérez,Huracán,DEL,1000000
Franco Watson,Huracán,VOL,1000000
Andrés Roa,Huracán,DEL,1000000
Matías Gómez,Huracán,DEL,1000000
Ignacio Campo,Huracán,DEF,1000000
Nicolás Cordero,Huracán,DEL,1000000
Leandro Figueredo,Huracán,DEF,1000000
Guido Herrera,Talleres,ARQ,1000000
Gastón Benavídez,Talleres,DEF,1000000
Federico Girotti,Talleres,DEL,1000000
Miguel Navarro,Talleres,DEF,1000000
Juan Portillo,Talleres,DEF,1000000
Diego Ortegoza,Talleres,VOL,1000000
Rubén Botta,Talleres,VOL,1000000
Matías Galarza,Talleres,VOL,1000000
Juan Camilo Portilla,Talleres,VOL,1000000
Matías Catalán,Talleres,DEF,1000000
Marcos Portillo,Talleres,VOL,1000000
Lucas Suárez,Talleres,DEF,1000000
Bruno Barticciotto,Talleres,DEL,1000000
Alejandro Martínez,Talleres,DEL,1000000
Valentín Depietri,Talleres,DEL,1000000
Kevin Mantilla,Talleres,DEF,1000000
Blas Riveros,Talleres,DEF,1000000
Ramiro Ruiz,Talleres,DEL,1000000
Juan Rodríguez,Talleres,DEF,1000000
Franco Moyano,Talleres,VOL,1000000
Cristian Tarragona,Talleres,DEL,1000000
Alex Vigo,Talleres,DEF,1000000
Matías Esquivel,Talleres,VOL,1000000
Ramón Sosa,Talleres,DEL,1000000
Gustavo Bou,Talleres,DEL,1000000
Sebastián Palacios,Talleres,DEL,1000000
Lautaro Morales,Talleres,ARQ,1000000
Gustavo Albarracín,Talleres,VOL,1000000
Matías Galarza,Talleres,VOL,1000000
Luis Sequeira,Talleres,VOL,1000000
Nahuel Bustos,Talleres,DEL,1000000
Imanol Segovia,Talleres,DEF,1000000
Diego Barrera,Talleres,VOL,1000000
Jeremías Gallard,Talleres,VOL,1000000
Francisco Pozzo,Talleres,DEL,1000000
José Romero,Talleres,DEL,1000000
Franco Saavedra,Talleres,VOL,1000000
Gonzalo Requena,Instituto,DEF,1000000
Manuel Roffo,Instituto,ARQ,1000000
Gastón Lodico,Instituto,VOL,1000000
Damián Puebla,Instituto,VOL,1000000
Jonás Acevedo,Instituto,VOL,1000000
Fernando Alarcón,Instituto,DEF,1000000
Nicolás Dubersarsky,Instituto,VOL,1000000
Giuliano Cerato,Instituto,DEF,1000000
Lucas Rodríguez,Instituto,DEF,1000000
Ignacio Russo,Instituto,DEL,1000000
Santiago Rodriguez,Instituto,DEL,1000000
Gregorio Rodríguez,Instituto,DEL,1000000
Jonathan Bay,Instituto,DEF,1000000
Facundo Suárez,Instituto,DEL,1000000
Juan Franco Arrellaga,Instituto,DEF,1000000
Stéfano Moreyra,Instituto,VOL,1000000
Miguel Brizuela,Instituto,DEF,1000000
Víctor Cabrera,Instituto,DEF,1000000
Franco Díaz,Instituto,VOL,1000000
Brian Cuello,Instituto,VOL,1000000
Damián Batallini,Instituto,DEL,1000000
Jeremías Lázaro,Instituto,DEL,1000000
Silvio Romero,Instituto,DEL,1000000
Rodrigo Pérez,Instituto,VOL,1000000
Francesco Lo Celso,Instituto,DEL,1000000
Nicolás Barrientos,Instituto,VOL,1000000
Emanuel Bilbao,Instituto,ARQ,1000000
Lautaro Carrera,Instituto,DEF,1000000
Matías Klimowicz,Instituto,DEL,1000000
Guido Mainero,Instituto,DEL,1000000
Joaquín Papaleo,Instituto,ARQ,1000000
Marcos Peano,Instituto,ARQ,1000000
Hugo Rojas,Instituto,VOL,1000000
Matías Romero,Instituto,VOL,1000000
Franco Pardo,Unión,DEF,1000000
Mauro Pittón,Unión,VOL,1000000
Thiago Cardozo,Unión,ARQ,1000000
Adrián Balboa,Unión,DEL,1000000
Bruno Pittón,Unión,DEF,1000000
Claudio Corvalán,Unión,DEF,1000000
Lautaro Vargas,Unión,DEF,1000000
Nicolás Orsini,Unión,DEL,1000000
Simón Rivero,Unión,VOL,1000000
Nicolás Paz,Unión,DEF,1000000
Joaquín Mosqueira,Unión,VOL,1000000
Mauro Luna Diale,Unión,VOL,1000000
Enzo Martín Roldán,Unión,VOL,1000000
Miguel Ángel Torrén,Unión,DEF,1000000
Federico Vera,Unión,DEF,1000000
Javier Morales,Unión,DEL,1000000
Juan Ludueña,Unión,DEF,1000000
Lucas Gamba,Unión,DEL,1000000
Mateo Del Blanco,Unión,DEF,1000000
Jerónimo Domina,Unión,VOL,1000000
Dante Campisi,Unión,ARQ,1000000
Patricio Tanda,Unión,VOL,1000000
Valentín Fascendini,Unión,DEF,1000000
Francisco Gerometta,Unión,DEF,1000000
Lionel Verde,Unión,VOL,1000000
Tiago Banega,Unión,DEF,1000000
Rafael Profini,Unión,DEL,1000000
Lucas Meuli,Unión,ARQ,1000000
Francisco Pumpido,Unión,VOL,1000000
Tomás Durso,Atlé Tucumán,ARQ,1000000
Adrián Guillermo Sánchez,Atlé Tucumán,VOL,1000000
Nicolás Romero,Atlé Tucumán,DEF,1000000
Renzo Tesuri,Atlé Tucumán,VOL,1000000
Guillermo Acosta,Atlé Tucumán,VOL,1000000
Mateo Bajamich,Atlé Tucumán,DEL,1000000
Juan Infante,Atlé Tucumán,DEF,1000000
Matías De los Santos,Atlé Tucumán,DEF,1000000
Moisés Brandán,Atlé Tucumán,DEF,1000000
Joaquín Pereyra,Atlé Tucumán,VOL,1000000
Marcelo Estigarribia,Atlé Tucumán,DEL,1000000
Luis Miguel Rodríguez,Atlé Tucumán,DEL,1000000
Mateo Coronel,Atlé Tucumán,DEL,1000000
Francisco Flores,Atlé Tucumán,DEF,1000000
Franco Nicola,Atlé Tucumán,VOL,1000000
Agustín Lagos,Atlé Tucumán,DEF,1000000
Matías Orihuela,Atlé Tucumán,DEF,1000000
Gianluca Ferrari,Atlé Tucumán,DEF,1000000
Justo Giani,Atlé Tucumán,VOL,1000000
Néstor Breitenbruch,Atlé Tucumán,DEF,1000000
Gino Peruzzi,Atlé Tucumán,DEF,1000000
Nicolás Castro,Atlé Tucumán,VOL,1000000
Rodrigo Iñaki Melo,Atlé Tucumán,VOL,1000000
Francisco Bonfiglio,Atlé Tucumán,DEL,1000000
Tomás Castro,Atlé Tucumán,DEF,1000000
Nicolás Servetto,Atlé Tucumán,DEL,1000000
Julian Carrasco,Atlé Tucumán,VOL,1000000
José Devecchi,Atlé Tucumán,ARQ,1000000
Lautaro Godoy,Atlé Tucumán,VOL,1000000
Juan González,Atlé Tucumán,ARQ,1000000
Rodrigo Morales,Atlé Tucumán,DEF,1000000
Sergio Ortíz,Atlé Tucumán,VOL,1000000
Paulo Díaz,River Plate,DEF,1000000
Franco Armani,River Plate,ARQ,1000000
Santiago Simón,River Plate,VOL,1000000
Miguel Borja,River Plate,DEL,1000000
Leandro González Pirez,River Plate,DEF,1000000
Facundo Colidio,River Plate,DEL,1000000
Pablo Solari,River Plate,DEL,1000000
Enzo Díaz,River Plate,DEF,1000000
Claudio Echeverri,River Plate,VOL,1000000
Matías Kranevitter,River Plate,VOL,1000000
Milton Casco,River Plate,DEF,1000000
Franco Mastantuono,River Plate,VOL,1000000
Manuel Lanzini,River Plate,VOL,1000000
Ignacio Fernández,River Plate,VOL,1000000
Nicolas Fonseca,River Plate,VOL,1000000
Germán Pezzella,River Plate,DEF,1000000
Fabricio Bustos,River Plate,DEF,1000000
Rodrigo Aliendro,River Plate,VOL,1000000
Marcos Acuña,River Plate,DEF,1000000
Ezequiel Barco,River Plate,VOL,1000000
Agustín Sant'Anna,River Plate,DEF,1000000
Felipe Peña,River Plate,VOL,1000000
Maximiliano Meza,River Plate,DEL,1000000
Adam Bareiro,River Plate,DEL,1000000
Sebastián Boselli,River Plate,DEF,1000000
Jeremías Ledesma,River Plate,ARQ,1000000
Federico Gattoni,River Plate,DEF,1000000
Rodrigo Villagra,River Plate,VOL,1000000
Ezequiel Centurión,River Plate,ARQ,1000000
Ramiro Funes Mori,River Plate,DEF,1000000
Agustín Ruberto,River Plate,DEL,1000000
Agustín Palavecino,River Plate,VOL,1000000
Héctor David Martínez,River Plate,DEF,1000000
Ian Subiabre,River Plate,VOL,1000000
Santiago Lencina,River Plate,DEL,1000000
Daniel Zabala,River Plate,DEF,1000000
Santiago Beltrán,River Plate,ARQ,1000000
Franco Carboni,River Plate,VOL,1000000
Marcelo Herrera,River Plate,DEF,1000000
Lucas Lavagnino,River Plate,ARQ,1000000
Santiago Sosa,Racing Club,DEF,1000000
Gastón Martirena,Racing Club,DEF,1000000
Gabriel Arias,Racing Club,ARQ,1000000
Agustín Almendra,Racing Club,VOL,1000000
Maximiliano Salas,Racing Club,DEL,1000000
Adrián Martínez,Racing Club,DEL,1000000
Gabriel Rojas,Racing Club,DEF,1000000
Juan Nardoni,Racing Club,VOL,1000000
Marco Di Cesare,Racing Club,DEF,1000000
Santiago Quiros,Racing Club,DEF,1000000
Nazareno Colombo,Racing Club,DEF,1000000
Roger Martínez,Racing Club,DEL,1000000
Johan Carbonero,Racing Club,DEL,1000000
Baltasar Gallego,Racing Club,VOL,1000000
Agustín Urzi,Racing Club,VOL,1000000
Bruno Zuculini,Racing Club,VOL,1000000
Leonardo Sigali,Racing Club,DEF,1000000
Facundo Mura,Racing Club,DEF,1000000
Juan Quintero,Racing Club,VOL,1000000
Agustín García Basso,Racing Club,DEF,1000000
Facundo Cambeses,Racing Club,ARQ,1000000
Juan Manuel Elordi,Racing Club,DEF,1000000
Santiago Solari,Racing Club,DEL,1000000
Germán Conti,Racing Club,DEF,1000000
Martín Barrios,Racing Club,VOL,1000000
David González,Racing Club,VOL,1000000
Iván Pillud,Racing Club,DEF,1000000
Matías Acevedo,Racing Club,VOL,1000000
Ignacio Galván,Racing Club,DEF,1000000
Tobías Rubio,Racing Club,VOL,1000000
Matías Bergara,Racing Club,VOL,1000000
Ramiro Degregorio,Racing Club,DEL,1000000
Gonzalo Escudero,Racing Club,DEF,1000000
Francisco Gómez,Racing Club,ARQ,1000000
Roberto León,Racing Club,ARQ,1000000
Leonel Miranda,Racing Club,VOL,1000000
Pedro Paredes,Racing Club,VOL,1000000
Luciano Vietto,Racing Club,DEL,1000000
Esteban Rolón,Belgrano,VOL,1000000
Francisco González,Belgrano,VOL,1000000
Alejandro Rébola,Belgrano,DEF,1000000
Juan Velazquez,Belgrano,DEF,1000000
Mariano Troilo,Belgrano,DEF,1000000
Franco Jara,Belgrano,DEL,1000000
Facundo Quignon,Belgrano,VOL,1000000
Gabriel Compagnucci,Belgrano,DEF,1000000
Juan Barinaga,Belgrano,DEF,1000000
Nicolás Fernández,Belgrano,DEL,1000000
Juan Espínola,Belgrano,ARQ,1000000
Santiago Longo,Belgrano,VOL,1000000
Agustín Baldi,Belgrano,DEF,1000000
Rafael Marcelo Delgado,Belgrano,DEF,1000000
Bryan Reyna,Belgrano,DEL,1000000
Matias Moreno,Belgrano,DEF,1000000
Matías Suárez,Belgrano,DEL,1000000
Ignacio Chicco,Belgrano,ARQ,1000000
Nahuel Losada,Belgrano,ARQ,1000000
Pablo Chavarría,Belgrano,DEL,1000000
Anibal Leguizamón,Belgrano,DEF,1000000
Nicolás Meriano,Belgrano,DEF,1000000
Facundo Lencioni,Belgrano,DEF,1000000
Gerónimo Heredia,Belgrano,VOL,1000000
Francisco Facello,Belgrano,DEF,1000000
Matías Marín,Belgrano,VOL,1000000
Ramiro Hernandes,Belgrano,VOL,1000000
Lucas Bustos,Belgrano,VOL,1000000
Ignacio Tapia,Belgrano,VOL,1000000
Máximo Oses,Belgrano,DEL,1000000
Lucas Menossi,Belgrano,VOL,1000000
Jeremías Lucco,Belgrano,DEL,1000000
Lucas Bernabéu,Belgrano,DEF,1000000
Ariel Rojas,Belgrano,VOL,1000000
Franco Rami,Belgrano,VOL,1000000
Lucas Argayo,Belgrano,ARQ,1000000
Mirko Bonfigli,Belgrano,VOL,1000000
Matías Daniele,Belgrano,ARQ,1000000
Santiago Ferez,Belgrano,ARQ,1000000
Matías García,Belgrano,VOL,1000000
Juan Herrera,Belgrano,DEF,1000000
Gonzalo Maffini,Belgrano,DEF,1000000
Matías Palavecino,Belgrano,VOL,1000000
Lúcio Velazco,Belgrano,DEF,1000000
Gonzalo Zelarayán,Belgrano,DEL,1000000
Miguel Merentiel,Boca Juniors,DEL,1000000
Lautaro Blanco,Boca Juniors,DEF,1000000
Sergio Romero,Boca Juniors,ARQ,1000000
Guillermo Matías Fernández,Boca Juniors,VOL,1000000
Kevin Zenon,Boca Juniors,VOL,1000000
Cristian Medina,Boca Juniors,VOL,1000000
Luis Advíncula,Boca Juniors,DEF,1000000
Cristian Lema,Boca Juniors,DEF,1000000
Edinson Cavani,Boca Juniors,DEL,1000000
Lautaro Di Lollo,Boca Juniors,DEF,1000000
Tomás Belmonte,Boca Juniors,VOL,1000000
Aaron Anselmino,Boca Juniors,DEF,1000000
Gary Medel,Boca Juniors,DEF,1000000
Marcos Rojo,Boca Juniors,DEF,1000000
Milton Giménez,Boca Juniors,DEL,1000000
Jorge Figal,Boca Juniors,DEF,1000000
Brian Aguirre,Boca Juniors,VOL,1000000
Ezequiél Fernández,Boca Juniors,VOL,1000000
Marcelo Saracchi,Boca Juniors,DEF,1000000
Ignacio Miramon,Boca Juniors,VOL,1000000
Exequiel Zeballos,Boca Juniors,VOL,1000000
Agustín Martegani,Boca Juniors,VOL,1000000
Leandro Brey,Boca Juniors,ARQ,1000000
Milton Delgado,Boca Juniors,VOL,1000000
Juan Barinaga,Boca Juniors,DEF,1000000
Luca Langoni,Boca Juniors,DEL,1000000
Jabes Saralegui,Boca Juniors,VOL,1000000
Mateo Mendía,Boca Juniors,DEF,1000000
Lucas Janson,Boca Juniors,VOL,1000000
Vicente Taborda,Boca Juniors,VOL,1000000
Frank Fabra,Boca Juniors,VOL,1000000
Julián Ceballos,Boca Juniors,VOL,1000000
Dylan Gorosito,Boca Juniors,DEF,1000000
Norberto Briasco,Boca Juniors,VOL,1000000
Iker Zufiaurre,Boca Juniors,VOL,1000000
Jorman Campuzano,Boca Juniors,DEF,1000000
Walter Molas,Boca Juniors,DEF,1000000
Mauricio Benítez,Boca Juniors,VOL,1000000
Ezequiel Bullaude,Boca Juniors,VOL,1000000
Santiago Dalmasso,Boca Juniors,VOL,1000000
Javier Hernán García,Boca Juniors,ARQ,1000000
Juan Payal,Boca Juniors,DEL,1000000
Juan Ramírez,Boca Juniors,VOL,1000000
Ignacio Rodríguez,Boca Juniors,DEL,1000000
Joaquín Ruíz,Boca Juniors,VOL,1000000
Ignacio Arce,Deportivo Riestra,ARQ,1000000
Nicolás Sansotre,Deportivo Riestra,DEF,1000000
Alan Barrionuevo,Deportivo Riestra,DEF,1000000
Jonathan Herrera,Deportivo Riestra,DEL,1000000
Pablo Monje,Deportivo Riestra,VOL,1000000
Pedro Ramírez,Deportivo Riestra,DEF,1000000
Nicolás Caro,Deportivo Riestra,DEF,1000000
Milton Céliz,Deportivo Riestra,VOL,1000000
Jonatan Goitía,Deportivo Riestra,VOL,1000000
Guillermo Pereira,Deportivo Riestra,VOL,1000000
Brían Sánchez,Deportivo Riestra,VOL,1000000
Antony Alonso,Deportivo Riestra,DEL,1000000
Rodrigo Sayavedra,Deportivo Riestra,DEF,1000000
Gustavo Fernández,Deportivo Riestra,DEL,1000000
Jonathan Goya,Deportivo Riestra,VOL,1000000
Gonzalo Bravo,Deportivo Riestra,VOL,1000000
Nicolás Benegas,Deportivo Riestra,DEL,1000000
Nicolas Dematei,Deportivo Riestra,DEF,1000000
Yaison Murillo,Deportivo Riestra,DEF,1000000
Leonardo Landriel,Deportivo Riestra,VOL,1000000
Alexander Díaz,Deportivo Riestra,DEL,1000000
Maximiliano Rodríguez,Deportivo Riestra,DEF,1000000
Delfor Minervino,Deportivo Riestra,DEF,1000000
Tomás Villoldo,Deportivo Riestra,DEF,1000000
Walter Acuña,Deportivo Riestra,DEL,1000000
Maximiliano Brito,Deportivo Riestra,DEL,1000000
Cristian Paz,Deportivo Riestra,DEF,1000000
José Méndez,Deportivo Riestra,DEL,1000000
Walter Rodríguez,Deportivo Riestra,VOL,1000000
Mario Sanabria,Deportivo Riestra,VOL,1000000
Rodrigo Cavallera,Deportivo Riestra,DEF,1000000
Jaime Barceló,Deportivo Riestra,ARQ,1000000
Gustavo Benítez,Deportivo Riestra,DEF,1000000
Joaquín Borja,Deportivo Riestra,VOL,1000000
Juan Dobboletta,Deportivo Riestra,ARQ,1000000
Ramón Gonzalez,Deportivo Riestra,DEL,1000000
Nahuel Iribarren,Deportivo Riestra,DEF,1000000
Jeremías James,Deportivo Riestra,DEF,1000000
Rodrigo Saracho,Deportivo Riestra,ARQ,1000000
Matías Mansilla,Estudiantes,ARQ,1000000
Tiago Palacios,Estudiantes,DEL,1000000
Luciano Lollo,Estudiantes,DEF,1000000
Enzo Pérez,Estudiantes,VOL,1000000
Santiago Ascacíbar,Estudiantes,VOL,1000000
Guido Carrillo,Estudiantes,DEL,1000000
Pablo Piatti,Estudiantes,VOL,1000000
Eric Meza,Estudiantes,DEF,1000000
Edwuin Cetré,Estudiantes,DEL,1000000
Gastón Benedetti,Estudiantes,DEF,1000000
Facundo Rodríguez,Estudiantes,DEF,1000000
José Sosa,Estudiantes,VOL,1000000
Eros Mancuso,Estudiantes,DEF,1000000
Federico Fernández,Estudiantes,DEF,1000000
Luciano Giménez,Estudiantes,DEL,1000000
Santiago Arzamendia,Estudiantes,DEF,1000000
Gabriel Neves,Estudiantes,VOL,1000000
Sebastián Boselli,Estudiantes,DEF,1000000
Javier Marcelo Correa,Estudiantes,DEL,1000000
Alexis Manyoma,Estudiantes,VOL,1000000
Fernando Zuqui,Estudiantes,VOL,1000000
Zaid Romero,Estudiantes,DEF,1000000
Santiago Flores,Estudiantes,DEF,1000000
Nicolás Fernández,Estudiantes,DEF,1000000
Bautista Kociubinski,Estudiantes,VOL,1000000
Román Gómez,Estudiantes,DEF,1000000
Mauro Méndez,Estudiantes,DEL,1000000
Nehuén Benedetti,Estudiantes,VOL,1000000
Fabricio Pérez,Estudiantes,VOL,1000000
Joaquín Burgos,Estudiantes,VOL,1000000
Emanuel Dall'Aglio,Estudiantes,DEF,1000000
Franco Zapiola,Estudiantes,DEL,1000000
Matías Contrera,Estudiantes,DEL,1000000
Axel Atum,Estudiantes,DEL,1000000
Ezequiel Naya,Estudiantes,DEF,1000000
Mikel Amondarain,Estudiantes,VOL,1000000
Rodrigo Borzone,Estudiantes,ARQ,1000000
Lucas Cornejo,Estudiantes,VOL,1000000
Fabricio Iacovich,Estudiantes,ARQ,1000000
Joaquín Pereyra,Estudiantes,DEF,1000000
Valente Pierani,Estudiantes,DEF,1000000
Benjamín Sagües,Estudiantes,DEL,1000000
Javier Urzúa,Estudiantes,VOL,1000000
Juan Zozaya,Estudiantes,ARQ,1000000
Bruno Leyes,Godoy Cruz,VOL,1000000
Franco Petroli,Godoy Cruz,ARQ,1000000
Lucas Arce,Godoy Cruz,DEF,1000000
Vicente Poggi,Godoy Cruz,VOL,1000000
Pier Barrios,Godoy Cruz,DEF,1000000
Federico Rasmussen,Godoy Cruz,DEF,1000000
Facundo Altamira,Godoy Cruz,VOL,1000000
Daniel Barrea,Godoy Cruz,VOL,1000000
Roberto Nicolás Fernández,Godoy Cruz,VOL,1000000
Salomón Rodríguez,Godoy Cruz,DEL,1000000
Elías Pereyra,Godoy Cruz,DEF,1000000
Martín Luciano,Godoy Cruz,DEF,1000000
