Jugador,Equipo,Pos,Precio,Estado
Elías Gómez,Vélez Sarsfield,DEF,2300000,Habilitado
Francisco Pizzini,Vélez Sarsfield,DEL,3600000,Habilitado
Braian Romero,Vélez Sarsfield,DEL,4000000,Habilitado
Claudio Aquino,Vélez Sarsfield,VOL,5000000,Habilitado
Tomás Marchiori,Vélez Sarsfield,ARQ,3100000,Habilitado
Agustín Bouzat,Vélez Sarsfield,VOL,1500000,Habilitado
Thiago Fernández,Vélez Sarsfield,DEL,1000000,Habilitado
Christian Ordoñez,Vélez Sarsfield,VOL,1000000,Habilitado
Joaquín García,Vélez Sarsfield,DEF,1700000,Habilitado
Valentín Gómez,Vélez Sarsfield,DEF,2000000,Habilitado
Emanuel Mammana,Vélez Sarsfield,DEF,3000000,Habilitado
Damián Fernández,Vélez Sarsfield,DEF,1300000,Habilitado
Patricio Pernicone,Vélez Sarsfield,DEF,400000,Habilitado
Tomás Guidara,Vélez Sarsfield,DEF,2500000,Habilitado
Jalil Elías,Vélez Sarsfield,VOL,2800000,Habilitado
Matías Pellegrini,Vélez Sarsfield,DEL,2000000,Habilitado
Aaron Quirós,Vélez Sarsfield,DEF,3000000,Habilitado
Leonel Roldán,Vélez Sarsfield,VOL,300000,Habilitado
Randall Rodríguez,Vélez Sarsfield,ARQ,1000000,Habilitado
Michael Santos,Vélez Sarsfield,DEL,4000000,Habilitado
Alejo Sarco,Vélez Sarsfield,DEL,800000,Habilitado
Rodrigo Piñeiro,Vélez Sarsfield,DEL,1500000,Habilitado
Juan Ignacio Méndez,Vélez Sarsfield,VOL,1000000,Habilitado
Agustín Lagos,Vélez Sarsfield,DEF,300000,Habilitado
Álvaro Montoro,Vélez Sarsfield,DEL,900000,Habilitado
Lautaro Garzón,Vélez Sarsfield,ARQ,600000,Habilitado
Maher Carrizo,Vélez Sarsfield,DEL,500000,Habilitado
Santiago Cáseres,Vélez Sarsfield,VOL,1700000,Habilitado
Lenny Lobato,Vélez Sarsfield,DEL,800000,Habilitado
Tomás Cavanagh,Vélez Sarsfield,DEF,600000,Habilitado
Francisco Montoro,Vélez Sarsfield,DEL,500000,Habilitado
Gianluca Benjamín,Vélez Sarsfield,DEL,300000,Habilitado
Leonardo Jara,Vélez Sarsfield,DEF,1000000,Habilitado
Isaías Andrada,Vélez Sarsfield,DEF,300000,Habilitado
Felipe Bussio,Vélez Sarsfield,VOL,300000,Habilitado
Elías Cabrera,Vélez Sarsfield,DEL,300000,Habilitado
Jano Gordon,Vélez Sarsfield,DEF,300000,Habilitado
Maximiliano Porcel,Vélez Sarsfield,VOL,300000,Habilitado
Thiago Silvero,Vélez Sarsfield,DEF,300000,Habilitado
Thiago Vecino,Vélez Sarsfield,DEL,1000000,Habilitado
Walter Mazzantti,Huracán,DEL,3000000,Habilitado
Lucas Carrizo,Huracán,DEF,1900000,Habilitado
Rodrigo Echeverría,Huracán,VOL,3300000,Habilitado
Hernán Galíndez,Huracán,ARQ,3000000,Habilitado
William Alarcón,Huracán,VOL,2000000,Habilitado
Rodrigo Cabral,Huracán,DEL,2000000,Habilitado
Fabio Pereyra,Huracán,DEF,2200000,Habilitado
Hernán De La Fuente,Huracán,DEF,1000000,Habilitado
Guillermo Benítez,Huracán,DEF,1900000,Habilitado
Federico Fattori,Huracán,VOL,2400000,Habilitado
Fernando Tobio,Huracán,DEF,3300000,Habilitado
Héctor Fértoli,Huracán,VOL,3000000,Habilitado
César Ibáñez,Huracán,DEF,1000000,Habilitado
Lucas Souto,Huracán,DEF,1800000,Habilitado
Sebastián Ramírez,Huracán,DEL,300000,Habilitado
Eric Ramírez,Huracán,DEL,1600000,Habilitado
Ignacio Pussetto,Huracán,DEL,5000000,Habilitado
Ramón Ábila,Huracán,DEL,2000000,Habilitado
Sebastián Meza,Huracán,ARQ,2000000,Habilitado
Agustín Toledo,Huracán,VOL,1000000,Habilitado
Alan Soñora,Huracán,VOL,2000000,Habilitado
Guillermo Burdisso,Huracán,DEF,2000000,Habilitado
Pablo Siles,Huracán,VOL,1000000,Habilitado
Franco Alfonso,Huracán,DEL,1300000,Habilitado
Leandro Garate,Huracán,DEL,1000000,Habilitado
Marcelo Pérez,Huracán,DEL,1000000,Habilitado
Franco Watson,Huracán,VOL,1000000,Habilitado
Andrés Roa,Huracán,VOL,2000000,Habilitado
Matías Gómez,Huracán,DEL,300000,Habilitado
Ignacio Campo,Huracán,DEF,300000,Habilitado
Nicolás Cordero,Huracán,DEL,600000,Habilitado
Leandro Figueredo,Huracán,DEF,300000,Habilitado
Guido Herrera,Talleres,ARQ,5000000,Habilitado
Gastón Benavídez,Talleres,DEF,2800000,Habilitado
Federico Girotti,Talleres,DEL,4000000,Habilitado
Miguel Navarro,Talleres,DEF,1100000,Habilitado
Juan Portillo,Talleres,DEF,2600000,Habilitado
Diego Ortegoza,Talleres,VOL,2500000,Habilitado
Rubén Botta,Talleres,VOL,6000000,Habilitado
Matías Galarza,Talleres,VOL,3800000,Habilitado
Juan Camilo Portilla,Talleres,VOL,1500000,Habilitado
Matías Catalán,Talleres,DEF,3400000,Habilitado
Marcos Portillo,Talleres,VOL,1300000,Habilitado
Lucas Suárez,Talleres,DEF,1600000,Habilitado
Bruno Barticciotto,Talleres,DEL,1500000,Habilitado
Alejandro Martínez,Talleres,DEL,3000000,Habilitado
Valentín Depietri,Talleres,DEL,1500000,Habilitado
Kevin Mantilla,Talleres,DEF,2500000,Habilitado
Blas Riveros,Talleres,DEF,1500000,Habilitado
Ramiro Ruiz,Talleres,DEL,2100000,Habilitado
Juan Rodríguez,Talleres,DEF,2600000,Habilitado
Franco Moyano,Talleres,VOL,2000000,Habilitado
Cristian Tarragona,Talleres,DEL,4000000,Habilitado
Alex Vigo,Talleres,DEF,2300000,Habilitado
Matías Esquivel,Talleres,VOL,2900000,Habilitado
Ramón Sosa,Talleres,DEL,5500000,Habilitado
Gustavo Bou,Talleres,DEL,4000000,Habilitado
Sebastián Palacios,Talleres,DEL,2800000,Habilitado
Lautaro Morales,Talleres,ARQ,1600000,Habilitado
Gustavo Albarracín,Talleres,VOL,300000,Habilitado
Matías Galarza Fonda,Talleres,VOL,1000000,Habilitado
Luis Sequeira,Talleres,VOL,1000000,Habilitado
Nahuel Bustos,Talleres,DEL,3000000,Habilitado
Imanol Segovia,Talleres,DEF,300000,Habilitado
Diego Barrera,Talleres,VOL,300000,Habilitado
Jeremías Gallard,Talleres,VOL,300000,Habilitado
Francisco Pozzo,Talleres,DEL,400000,Habilitado
José Romero,Talleres,DEL,500000,Habilitado
Franco Saavedra,Talleres,VOL,300000,Habilitado
Gonzalo Requena,Instituto,DEF,500000,Habilitado
Manuel Roffo,Instituto,ARQ,2000000,Habilitado
Gastón Lodico,Instituto,VOL,2900000,Habilitado
Damián Puebla,Instituto,DEL,1000000,Habilitado
Jonás Acevedo,Instituto,VOL,2300000,Habilitado
Fernando Alarcón,Instituto,DEF,3500000,Habilitado
Nicolás Dubersarsky,Instituto,VOL,600000,Habilitado
Giuliano Cerato,Instituto,DEF,1200000,Habilitado
Lucas Rodríguez,Instituto,DEF,2300000,Habilitado
Ignacio Russo,Instituto,DEL,1000000,Habilitado
Santiago Rodriguez,Instituto,DEL,2000000,Habilitado
Gregorio Rodríguez,Instituto,DEL,600000,Habilitado
Jonathan Bay,Instituto,DEF,2000000,Habilitado
Facundo Suárez,Instituto,DEL,800000,Habilitado
Juan Franco Arrellaga,Instituto,DEF,300000,Habilitado
Stéfano Moreyra,Instituto,VOL,600000,Habilitado
Miguel Brizuela,Instituto,DEF,1200000,Habilitado
Víctor Cabrera,Instituto,DEF,2000000,Habilitado
Franco Díaz,Instituto,VOL,1000000,Habilitado
Brian Cuello,Instituto,VOL,1400000,Habilitado
Damián Batallini,Instituto,DEL,2900000,Habilitado
Jeremías Lázaro,Instituto,DEL,300000,Habilitado
Silvio Romero,Instituto,DEL,3800000,Habilitado
Rodrigo Pérez,Instituto,VOL,700000,Habilitado
Francesco Lo Celso,Instituto,VOL,900000,Habilitado
Nicolás Barrientos,Instituto,VOL,300000,Habilitado
Emanuel Bilbao,Instituto,ARQ,300000,Habilitado
Lautaro Carrera,Instituto,DEF,300000,Habilitado
Matías Klimowicz,Instituto,DEL,300000,Habilitado
Guido Mainero,Instituto,DEL,500000,Habilitado
Joaquín Papaleo,Instituto,ARQ,1000000,Habilitado
Marcos Peano,Instituto,ARQ,1000000,Habilitado
Hugo Rojas,Instituto,VOL,300000,Habilitado
Matías Romero,Instituto,VOL,300000,Habilitado
Franco Pardo,Unión,DEF,1000000,Habilitado
Mauro Pittón,Unión,VOL,2800000,Habilitado
Thiago Cardozo,Unión,ARQ,1000000,Habilitado
Adrián Balboa,Unión,DEL,1800000,Habilitado
Bruno Pittón,Unión,DEF,3100000,Habilitado
Claudio Corvalán,Unión,DEF,2800000,Habilitado
Lautaro Vargas,Unión,DEF,300000,Habilitado
Nicolás Orsini,Unión,DEL,2000000,Habilitado
Simón Rivero,Unión,VOL,700000,Habilitado
Nicolás Paz,Unión,DEF,900000,Habilitado
Joaquín Mosqueira,Unión,VOL,300000,Habilitado
Mauro Luna Diale,Unión,VOL,1800000,Habilitado
Enzo Martín Roldán,Unión,VOL,1000000,Habilitado
Miguel Ángel Torrén,Unión,DEF,3700000,Habilitado
Federico Vera,Unión,DEF,2000000,Habilitado
Javier Morales,Unión,DEL,2100000,Habilitado
Juan Ludueña,Unión,DEF,300000,Habilitado
Lucas Gamba,Unión,DEL,4500000,Habilitado
Mateo Del Blanco,Unión,DEF,900000,Habilitado
Jerónimo Domina,Unión,VOL,1600000,Habilitado
Dante Campisi,Unión,ARQ,1000000,Habilitado
Patricio Tanda,Unión,VOL,700000,Habilitado
Valentín Fascendini,Unión,DEF,500000,Habilitado
Francisco Gerometta,Unión,DEF,2500000,Habilitado
Lionel Verde,Unión,VOL,300000,Habilitado
Tiago Banega,Unión,VOL,1000000,Habilitado
Rafael Profini,Unión,DEF,300000,Habilitado
Lucas Meuli,Unión,ARQ,300000,Habilitado
Francisco Pumpido,Unión,VOL,300000,Habilitado
Tomás Durso,Atlé Tucumán,ARQ,1300000,Habilitado
Adrián Guillermo Sánchez,Atlé Tucumán,VOL,1600000,Habilitado
Nicolás Romero,Atlé Tucumán,DEF,1500000,Habilitado
Renzo Tesuri,Atlé Tucumán,VOL,1800000,Habilitado
Guillermo Acosta,Atlé Tucumán,VOL,2400000,Habilitado
Mateo Bajamich,Atlé Tucumán,DEL,2000000,Habilitado
Juan Infante,Atlé Tucumán,DEF,1800000,Habilitado
Matías De los Santos,Atlé Tucumán,DEF,2300000,Habilitado
Moisés Brandán,Atlé Tucumán,DEF,600000,Habilitado
Joaquín Pereyra,Atlé Tucumán,VOL,4500000,Habilitado
Marcelo Estigarribia,Atlé Tucumán,DEL,2200000,Habilitado
Luis Miguel Rodríguez,Atlé Tucumán,DEL,4300000,Habilitado
Mateo Coronel,Atlé Tucumán,DEL,3500000,Habilitado
Francisco Flores,Atlé Tucumán,DEF,900000,Habilitado
Franco Nicola,Atlé Tucumán,VOL,300000,Habilitado
Agustín Lagos,Atlé Tucumán,DEF,400000,Habilitado
Matías Orihuela,Atlé Tucumán,DEF,1700000,Habilitado
Gianluca Ferrari,Atlé Tucumán,DEF,1200000,Habilitado
Justo Giani,Atlé Tucumán,VOL,1600000,Habilitado
Néstor Breitenbruch,Atlé Tucumán,DEF,1200000,Habilitado
Gino Peruzzi,Atlé Tucumán,DEF,2200000,Habilitado
Nicolás Castro,Atlé Tucumán,VOL,1900000,Habilitado
Rodrigo Iñaki Melo,Atlé Tucumán,VOL,1600000,Habilitado
Francisco Bonfiglio,Atlé Tucumán,DEL,800000,Habilitado
Tomás Castro,Atlé Tucumán,VOL,2100000,Habilitado
Nicolás Servetto,Atlé Tucumán,DEL,2900000,Habilitado
Julian Carrasco,Atlé Tucumán,VOL,300000,Habilitado
José Devecchi,Atlé Tucumán,ARQ,2000000,Habilitado
Lautaro Godoy,Atlé Tucumán,VOL,500000,Habilitado
Juan González,Atlé Tucumán,ARQ,600000,Habilitado
Rodrigo Morales,Atlé Tucumán,DEF,300000,Habilitado
Sergio Ortíz,Atlé Tucumán,VOL,300000,Habilitado
Paulo Díaz,River Plate,DEF,5400000,Habilitado
Franco Armani,River Plate,ARQ,5900000,Habilitado
Santiago Simón,River Plate,VOL,3000000,Habilitado
Miguel Borja,River Plate,DEL,6000000,Habilitado
Leandro González Pirez,River Plate,DEF,4000000,Habilitado
Facundo Colidio,River Plate,DEL,5000000,Habilitado
Pablo Solari,River Plate,DEL,4500000,Habilitado
Enzo Díaz,River Plate,DEF,4500000,Habilitado
Claudio Echeverri,River Plate,VOL,5000000,Habilitado
Matías Kranevitter,River Plate,VOL,3000000,Habilitado
Milton Casco,River Plate,DEF,2500000,Habilitado
Franco Mastantuono,River Plate,VOL,3000000,Habilitado
Manuel Lanzini,River Plate,VOL,4000000,Habilitado
Ignacio Fernández,River Plate,VOL,4500000,Habilitado
Nicolas Fonseca,River Plate,VOL,2500000,Habilitado
Germán Pezzella,River Plate,DEF,6000000,Habilitado
Fabricio Bustos,River Plate,DEF,4300000,Habilitado
Rodrigo Aliendro,River Plate,VOL,4500000,Habilitado
Marcos Acuña,River Plate,DEF,6500000,Habilitado
Ezequiel Barco,River Plate,VOL,6200000,Habilitado
Agustín Sant'Anna,River Plate,DEF,3200000,Habilitado
Felipe Peña,River Plate,VOL,2000000,Habilitado
Maximiliano Meza,River Plate,VOL,4900000,Habilitado
Adam Bareiro,River Plate,DEL,5000000,Habilitado
Sebastián Boselli,River Plate,DEF,1000000,Habilitado
Jeremías Ledesma,River Plate,ARQ,4600000,Habilitado
Federico Gattoni,River Plate,DEF,3500000,Habilitado
Rodrigo Villagra,River Plate,VOL,4700000,Habilitado
Ezequiel Centurión,River Plate,ARQ,1000000,Habilitado
Ramiro Funes Mori,River Plate,DEF,2000000,Habilitado
Agustín Ruberto,River Plate,DEL,2000000,Habilitado
Agustín Palavecino,River Plate,VOL,3600000,Habilitado
Héctor David Martínez,River Plate,DEF,3500000,Habilitado
Ian Subiabre,River Plate,VOL,700000,Habilitado
Santiago Lencina,River Plate,DEL,300000,Habilitado
Daniel Zabala,River Plate,DEF,800000,Habilitado
Santiago Beltrán,River Plate,ARQ,300000,Habilitado
Franco Carboni,River Plate,DEF,500000,Habilitado
Marcelo Herrera,River Plate,DEF,1500000,Habilitado
Lucas Lavagnino,River Plate,ARQ,300000,Habilitado
Santiago Sosa,Racing Club,DEF,5000000,Habilitado
