Player,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,xG,npxG,SCA,GCA,match,score,team,team_goals,conceded_goals,win,tie,Total-TotDist,Total-PrgDist,Short-Cmp,Short-Att,Medium-Cmp,Medium-Att,Long-Cmp,Long-Att,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,Tackles-Tkl,Tackles-TklW,Challenges-Tkl,Challenges-Att,Challenges-Lost,Blocks-Blocks,Blocks-Sh,Blocks-Pass,Int,Clr,Err,Touches-Def Pen,Touches-Def 3rd,Touches-Mid 3rd,Touches-Att 3rd,Touches-Att Pen,Take-Ons-Att,Take-Ons-Succ,Carries-Carries,Carries-TotDist,Carries-PrgDist,Carries-PrgC,Carries-1/3,Carries-CPA,Carries-Mis,Carries-Dis,Receiving-Rec,Receiving-PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,PKwon,PKcon,OG,Recov,Aerial Duels-Won,Aerial Duels-Lost,SoTA,GA,Saves,PSxG,Launched-Cmp,Launched-Att,Passes-Att (GK),Passes-Thr,Passes-AvgLen,Goal Kicks-Att,Goal Kicks-AvgLen,Crosses-Opp,Crosses-Stp,Sweeper-#OPA,Sweeper-AvgDist,puntaje_modelo,figura,puntaje,fecha
Nicolás Meriano,FB,20,0,0,0,0,0,0,0.0,0.0,1,0,Talleres - Belgrano,0–0,Belgrano,0,0,False,True,77,64,1,2,0,0,1,3,0.2,0.0,1,0,0,0,0,5,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,4,5,2,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1236943210431996,False,8.0,17
Facundo Quignon,CM,90,0,0,0,0,0,0,0.0,0.0,0,0,Talleres - Belgrano,0–0,Belgrano,0,0,False,True,40,0,3,6,0,0,0,1,0.0,0.0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,2,2,2,2,0,1,1,0,1,2,0,1,5,8,3,0,0,0,4,10,1,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.395352152368983,False,6.0,17
Juan Velazquez,WB,4,0,0,0,0,0,0,0.0,0.0,0,0,Talleres - Belgrano,0–0,Belgrano,0,0,False,True,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.741148260831172,False,8.0,17
Mariano Troilo,CB,86,0,0,0,0,1,0,0.0,0.0,0,0,Talleres - Belgrano,0–0,Belgrano,0,0,False,True,46,43,0,1,0,0,1,2,0.0,0.0,0,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,8,0,7,9,2,2,2,0,0,1,2,2,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.619553954606934,False,9.0,17
Gabriel Compagnucci,FB,90,0,0,0,0,0,0,0.0,0.0,2,0,Talleres - Belgrano,0–0,Belgrano,0,0,False,True,216,110,1,3,6,10,2,3,0.0,0.0,2,0,1,1,0,17,9,8,0,1,0,3,7,1,2,0,2,2,0,2,1,1,0,7,0,8,11,9,7,0,0,0,4,15,7,0,1,0,0,0,6,1,0,0,0,2,2,1,0,0,0,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.70301721513176,False,9.0,17
Rafael Marcelo Delgado,FB,90,0,0,0,0,0,0,0.0,0.0,2,0,Talleres - Belgrano,0–0,Belgrano,0,0,False,True,261,208,0,1,4,7,4,9,0.0,0.0,0,1,0,0,1,17,13,4,1,1,0,0,3,0,2,2,1,1,0,1,1,0,1,5,0,8,16,10,1,0,0,0,4,13,7,0,0,0,0,0,5,0,0,0,0,1,3,0,0,0,0,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.924862349055839,True,13.0,17
Alejandro Rébola,CB,1,0,0,0,0,0,0,0.0,0.0,0,0,Talleres - Belgrano,0–0,Belgrano,0,0,False,True,19,3,0,0,1,1,0,0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.322458823828908,False,2.0,17
Anibal Leguizamón,CB,90,0,0,0,0,0,0,0.0,0.0,0,0,Talleres - Belgrano,0–0,Belgrano,0,0,False,True,50,0,0,0,2,2,0,1,0.0,0.0,0,0,0,0,0,3,2,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,1,9,0,12,13,2,1,1,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.703898416577362,False,9.0,17
Juan Espínola,GK,90,0,0,0,0,0,0,0.0,0.0,1,0,Talleres - Belgrano,0–0,Belgrano,0,0,False,True,674,664,0,0,0,0,10,38,0.0,0.0,0,3,1,0,0,38,16,22,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,38,0,0,0,0,0,17,126,90,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,3.0,0.7,10.0,38.0,24.0,0.0,67.9,14.0,77.4,28.0,3.0,0.0,6.7,6.545000956263567,False,8.0,17
Mateo Pellegrino,FW,82,0,0,0,0,1,0,0.0,0.0,2,0,Platense - River Plate,0–0,Platense,0,0,False,True,48,26,1,2,2,6,0,0,0.0,0.0,0,2,0,0,2,9,9,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,1,9,8,2,0,0,5,17,0,0,0,0,4,0,13,1,0,0,0,2,1,1,0,0,0,0,7,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.31351621134997,False,6.0,17
