id,jugador,equipo,puntaje,fecha
178,"Baltasar Gallego","Racing Club",6,18
179,"Emanuel Aguilera","Defensa y Just",6,18
180,"Kevin Facundo Gutiérrez","Defensa y Just",6,18
181,"Juan Miritello","Defensa y Just",6,18
182,"Enrique Bologna","Defensa y Just",6,18
183,"Benjamín Schamine","Defensa y Just",6,18
184,"Rodrigo Bogarín","Defensa y Just",6,18
185,"Kevin Lopez","Defensa y Just",6,18
186,"Luciano Ramón Herrera","Defensa y Just",5,18
187,"César Pérez","Defensa y Just",5,18
188,"Nehuén Paz",Tigre,8,18
189,"Blas Armoa",Tigre,8,18
190,"Agustín Cardozo",Tigre,8,18
191,"Sebastián Medina",Tigre,8,18
192,"Felipe Zenobio",Tigre,7,18
193,"Martín Garay",Tigre,7,18
194,"Ramón Arias",Tigre,7,18
195,"Lorenzo Scipioni",Tigre,7,18
196,"Valentín Moreno",Tigre,7,18
197,"Tomás Galván",Tigre,7,18
198,"Santiago González",Tigre,7,18
199,"Ezequiel Forclaz",Tigre,7,18
200,"Eric Ramírez",Tigre,7,18
201,"Brian Aguirre","Boca Juniors",6,18
202,"Florián Monzón",Tigre,6,18
203,"Gian Nardelli",Tigre,6,18
204,"Gonzalo Maroni",Tigre,6,18
205,"Edinson Cavani","Boca Juniors",6,18
206,"Lautaro Blanco","Boca Juniors",6,18
207,"Luis Advíncula","Boca Juniors",6,18
208,"Ignacio Miramon","Boca Juniors",6,18
209,"Marcos Rojo","Boca Juniors",6,18
210,"Sergio Romero","Boca Juniors",6,18
211,"Exequiel Zeballos","Boca Juniors",6,18
212,"Aaron Anselmino","Boca Juniors",6,18
213,"Cristian Medina","Boca Juniors",6,18
214,"Guillermo Matías Fernández","Boca Juniors",6,18
215,"Kevin Zenon","Boca Juniors",6,18
216,"Miguel Merentiel","Boca Juniors",6,18
217,"Milton Giménez","Boca Juniors",5,18
218,"Claudio Aquino","Vélez Sarsfield",7,18
219,"Braian Romero","Vélez Sarsfield",7,18
220,"Santiago Simón","River Plate",7,18
221,"Thiago Fernández","Vélez Sarsfield",7,18
222,"Miguel Borja","River Plate",7,18
223,"Enzo Díaz","River Plate",6,18
224,"Christian Ordoñez","Vélez Sarsfield",6,18
