fecha,jugador,equipo,puntaje
1,Tobías Palacio,Arg Juniors,6.148356374286951
1,Thiago Santamaría,Arg Juniors,6.09379342763251
1,Gastón Verón,Arg Juniors,6.007367753304835
1,Laurtaro Giaccone,Rosario Central,5.917541035275114
1,Nicolás Oróz,Arg Juniors,5.905629686733333
1,Jaminton Campaz,Rosario Central,5.893992474761909
1,Tomás O'Connor,Rosario Central,5.872965070374388
1,Carlos Quintana,Rosario Central,5.767195926936249
1,Juan Cardozo,Arg Juniors,5.735489531307066
1,Emanuel Coronel,Rosario Central,5.555134740706645
1,Leonardo Heredia,Arg Juniors,5.290845393718917
1,Diego Matías Rodríguez,Arg Juniors,5.204512771060391
1,Jerónimo Cacciabue,Newell's OB,7.280142156554328
1,Brian Aguirre,Newell's OB,7.1714177280501294
1,Ángelo Martino,Newell's OB,7.033328349302428
1,Juan Cozzani,Platense,7.005514634040478
1,Guillermo May,Newell's OB,6.945441218993071
1,Armando Méndez,Newell's OB,6.790328071395761
1,Ignacio Vázquez,Platense,6.494109819042068
1,Juan Saborido,Platense,6.465887634855425
1,Lucas Hoyos,Newell's OB,6.44249262033849
1,Rodrigo Fernández,Newell's OB,6.435138333665705
1,Guillermo Balzi,Newell's OB,6.4144706916337375
1,Francisco González,Newell's OB,6.408086777692969
1,Gustavo Velásquez,Newell's OB,6.395051134789868
1,Sasha Marcich,Platense,6.39477495009081
1,Leonel Picco,Platense,6.374936223684184
1,Lucas Ocampo,Platense,6.342172938754322
1,Iván Gómez,Platense,6.341435691615739
1,Gastón Suso,Platense,6.2758758112881665
1,Fernando Juárez,Platense,6.233683184772994
1,Ignacio Schor,Newell's OB,6.1901004626120395
1,Éver Banega,Newell's OB,6.163010469241483
1,Fabricio Tirado,Newell's OB,5.982288781887423
1,Juan Ignacio Ramírez,Newell's OB,5.97512689111654
1,Ian Glavinovich,Newell's OB,5.9580197432848685
1,Mateo Pellegrino,Platense,5.9088342564980465
1,Luis Angulo,Platense,5.783590147855537
1,Julián Fernández,Newell's OB,5.7489690829305875
1,Facundo Russo,Platense,5.721201725665058
1,Luciano Ferreyra,Platense,5.674809740315107
1,Ronaldo Martínez,Platense,5.622364194028861
1,Lisandro Montenegro,Platense,5.548919701638893
1,Jonathan Herrera,Deportivo Riestra,7.454066536753653
1,Alan Barrionuevo,Deportivo Riestra,7.075967546018323
1,Leonardo Landriel,Deportivo Riestra,6.92036136672213
1,Pedro Ramírez,Deportivo Riestra,6.8153976798152796
1,Ignacio Arce,Deportivo Riestra,6.747474004853931
1,Pablo Monje,Deportivo Riestra,6.724972119028656
